"sistema";"uf_sigla";"uf_codigo";"uf_nome";"granularidade";"filtro_cid";"periodo";"valor"
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Mar";271
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Abr";320
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Mai";488
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Jun";288
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Jul";251
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Ago";251
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Set";205
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Out";211
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Nov";190
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2020/Dez";220
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Jan";227
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Fev";228
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Mar";282
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Abr";276
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Mai";286
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Jun";281
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Jul";228
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Ago";226
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Set";205
"SIM-DO";"MA";"21";"Maranhão";"mensal";"E10,E11,E12,E13,E14";"2021/Out";204
